cats	Index	Forms	Notes_id	Dutch	English	Indonesian	v1894	v1904/1911	v1931	Swadesh	Swadesh_orig	remark	nt_form	nt_eng	nt_idn	nt_pos	nt_comment	nt_pc	nt_tapah	nt_lekon	nt_simalur	Concepticon_Gloss	Concepticon_ID	concept_url
the Mentawai (Pagai & Sipora) list (no date)	167	moeloedji	NA	spugen, spuwen	to spit	meludah	141	143	141	FALSE												SPIT	1440	https://concepticon.clld.org/parameters/1440
the Mentawai (Pagai & Sipora) list (no date)	169	moepaisi	NA	niezen	to sneeze	bersin	142	144	143	FALSE												SNEEZE	1621	https://concepticon.clld.org/parameters/1621
the Mentawai (Pagai & Sipora) list (no date)	170	moekôkolo	NA	hoesten	to cough	batuk	143	145	144	FALSE												COUGH	879	https://concepticon.clld.org/parameters/879
the Mentawai (Pagai & Sipora) list (no date)	172	moesokot	NA	hik	hiccups	tersedu	-	146	-	FALSE												HICCOUGH	162	https://concepticon.clld.org/parameters/162
the Mentawai (Pagai & Sipora) list (no date)	173	toesagat	NA	zich verslikken	to choke	tersedak	-	147	146	FALSE												CHOKE	129	https://concepticon.clld.org/parameters/129
the Mentawai (Pagai & Sipora) list (no date)	174	moegê	NA	boer (oprisping)	belch	sendawa	-	148	147	FALSE		typo in the original as serdawa; should be sendawa										BELCH	2245	https://concepticon.clld.org/parameters/2245
the Mentawai (Pagai & Sipora) list (no date)	176	moeoap	NA	gapen	to yawn	menguap	144	149	149	FALSE												YAWN	1028	https://concepticon.clld.org/parameters/1028
the Mentawai (Pagai & Sipora) list (no date)	177	malaulau	NA	knikken	to nod	mengangguk	145	150	-	FALSE												NA	NA	https://concepticon.clld.org/parameters/NA
the Mentawai (Pagai & Sipora) list (no date)	182	moeri manoea	NA	leven (levend)	to live (alive)	hidup	163	168	154	TRUE	live											BE ALIVE	1422	https://concepticon.clld.org/parameters/1422
the Mentawai (Pagai & Sipora) list (no date)	183	mâtei	NA	sterven	to die	meninggal dunia	161	166	155	TRUE	die											DIE	1494	https://concepticon.clld.org/parameters/1494
the Mentawai (Pagai & Sipora) list (no date)	184	katatakat	NA	dood (zelfstnw.)	death	kematian	164	169	-	FALSE												DEATH	910	https://concepticon.clld.org/parameters/910
the Mentawai (Pagai & Sipora) list (no date)	188	simamâtei	NA	lijk	corpse	mayat	162	167	-	FALSE												CORPSE	767	https://concepticon.clld.org/parameters/767
the Mentawai (Pagai & Sipora) list (no date)	191	râtei	NA	graf	grave	kuburan	244	242	160	FALSE												GRAVE	1773	https://concepticon.clld.org/parameters/1773
the Mentawai (Pagai & Sipora) list (no date)	192	moenoe	NA	doden	to kill	membunuh	166	170	161	TRUE	kill											KILL	1417	https://concepticon.clld.org/parameters/1417
the Mentawai (Pagai & Sipora) list (no date)	192	mateiake	NA	doden	to kill	membunuh	166	170	161	TRUE	kill											KILL	1417	https://concepticon.clld.org/parameters/1417
the Mentawai (Pagai & Sipora) list (no date)	193	koepkoepmen	NA	erven	to inherit	mewarisi	167	171	-	FALSE												INHERIT	3664	https://concepticon.clld.org/parameters/3664
the Mentawai (Pagai & Sipora) list (no date)	194	koepkoep akenen	NA	erfenis	inheritance	warisan	168	172	-	FALSE												NA	NA	https://concepticon.clld.org/parameters/NA
the Mentawai (Pagai & Sipora) list (no date)	196	sinetekat	NA	wond	wound	luka	177	181	163	FALSE												WOUND	1109	https://concepticon.clld.org/parameters/1109
the Mentawai (Pagai & Sipora) list (no date)	197	appoe	NA	zweer	an infected wound	luka bernanah	178	182	-	FALSE												INFECTED	548	https://concepticon.clld.org/parameters/548
the Mentawai (Pagai & Sipora) list (no date)	197	bokbong	NA	zweer	an infected wound	luka bernanah	178	182	-	FALSE												INFECTED	548	https://concepticon.clld.org/parameters/548
the Mentawai (Pagai & Sipora) list (no date)	198	balak	NA	litteken	scar	bekas luka	179	183	164	FALSE												SCAR	497	https://concepticon.clld.org/parameters/497
the Mentawai (Pagai & Sipora) list (no date)	199	mabesi	NA	ziek	ill	sakit	730	748	165	FALSE												SICK	1847	https://concepticon.clld.org/parameters/1847
the Mentawai (Pagai & Sipora) list (no date)	200	mabesi	NA	ziek zijn	to be ill	merasa sakit	175	180	-	FALSE												SICK	1847	https://concepticon.clld.org/parameters/1847
the Mentawai (Pagai & Sipora) list (no date)	202	maron toeboe	NA	gezond	healthy	sehat	731	749	167	FALSE												HEALTHY	1364	https://concepticon.clld.org/parameters/1364
the Mentawai (Pagai & Sipora) list (no date)	203	appoe	NA	steenpuist	boil	bisul	180	184	168	FALSE												BOIL (OF SKIN)	793	https://concepticon.clld.org/parameters/793
the Mentawai (Pagai & Sipora) list (no date)	205	roket	NA	koorts	fever	demam (k.b.)	181	185	-	FALSE												FEVER	1534	https://concepticon.clld.org/parameters/1534
the Mentawai (Pagai & Sipora) list (no date)	207	besit baga	NA	buikpijn	stomach ache	sakit perut	182	186	-	FALSE												NA	NA	https://concepticon.clld.org/parameters/NA
the Mentawai (Pagai & Sipora) list (no date)	209	patsat	NA	buikloop	diarrhoea	menceret (k.b.)	183	187	-	FALSE												DIARRHEA	1177	https://concepticon.clld.org/parameters/1177
